Year,Country,Resettled by destination per capita,Child migrants (UNICEF),Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Refugees by destination.1,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),International emigrants (% population),Refugees by destination (per capita).1
1955, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,525786.0,,,
1960, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,809851.0,,,
1965, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,577018.0,,,
1970, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,82258.0,,,
1975, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1174222.0,,,
1980, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-764323.0,,,
1985, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1359446.0,,,
1990, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1645814.0,,,
1995, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2680612.0,,,
2000, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4778138.0,,,
2005, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5175898.0,,,
2010, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9818745.0,,,
2015, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8370001.0,,,
2020, Central and Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6769678.0,,,
1955, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,205036.0,,,
1960, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,537082.0,,,
1965, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-923430.0,,,
1970, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,745981.0,,,
1975, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-277213.0,,,
1980, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-824199.0,,,
1985, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,148168.0,,,
1990, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,165059.0,,,
1995, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2228331.0,,,
2000, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-317305.0,,,
2005, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4762081.0,,,
2010, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5633911.0,,,
2015, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2311105.0,,,
2020, Eastern and South-Eastern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2850444.0,,,
1981, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
